run,protocol,faults,delay_ms,rate,consensus_tps,consensus_latency_ms,end_to_end_tps,end_to_end_latency_ms
2,shortfin,0,0,250000,226369.554893,2491.413801,204866.841168,3047.164146
3,shortfin,0,0,250000,228255.772449,2431.485443,206085.492176,2983.490833
1,sailfin,0,0,250000,217694.839752,2300.056566,195965.939720,2848.225457
2,sailfin,0,0,250000,211990.157803,2541.732043,191116.207553,3095.532147
3,sailfin,0,0,250000,207325.994207,2726.681876,193837.822339,3288.225840
