run,protocol,faults,delay_ms,rate,consensus_tps,consensus_latency_ms,end_to_end_tps,end_to_end_latency_ms
2,shortfin,0,0,250000,226369.554893,2491.413801,204866.841168,3047.164146
3,shortfin,0,0,250000,228255.772449,2431.485443,206085.492176,2983.490833
