run,protocol,faults,delay_ms,rate,consensus_tps,consensus_latency_ms,end_to_end_tps,end_to_end_latency_ms
1,shortfin,0,0,250000,212606.232648,2563.803602,201336.658594,3122.518697
2,shortfin,0,0,250000,213169.526646,2488.379430,191038.204066,3040.695638
3,shortfin,0,0,250000,225213.082438,2496.100082,203024.314007,3042.551574
