run,protocol,faults,delay_ms,rate,consensus_tps,consensus_latency_ms,end_to_end_tps,end_to_end_latency_ms
1,shortfin,0,0,250000,212606.232648,2563.803602,201336.658594,3122.518697
2,shortfin,0,0,250000,213169.526646,2488.379430,191038.204066,3040.695638
3,shortfin,0,0,250000,225213.082438,2496.100082,203024.314007,3042.551574
1,sailfin,0,0,250000,194571.005327,2494.052387,177965.318842,3062.677528
2,sailfin,0,0,250000,183085.420629,2596.118057,166490.076591,3153.819579
3,sailfin,0,0,250000,221709.944744,2588.235867,200427.089309,3145.498445
