[2026-05-22T09:13:56.692Z INFO  network::reliable_sender] Connection to 34.79.153.233:5029: keep_alive starting with 0 buffered messages
[2026-05-22T09:13:56.692Z INFO  network::reliable_sender] Outgoing connection established with 130.211.86.32:5004
[2026-05-22T09:13:56.692Z INFO  network::reliable_sender] Connection to 130.211.86.32:5004: keep_alive starting with 0 buffered messages
[2026-05-22T09:13:56.786Z INFO  worker::batch_maker] Batch ytYgB6fXZV/VrTywZRuVNbrMWG9vRbfOJPE6tU11qWs= contains sample tx 8
[2026-05-22T09:13:56.786Z INFO  worker::batch_maker] Batch ytYgB6fXZV/VrTywZRuVNbrMWG9vRbfOJPE6tU11qWs= contains sample tx 9
[2026-05-22T09:13:56.786Z INFO  worker::batch_maker] Batch ytYgB6fXZV/VrTywZRuVNbrMWG9vRbfOJPE6tU11qWs= contains 500224 B
[2026-05-22T09:13:56.787Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:56.787Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:56.886Z INFO  worker::batch_maker] Batch GcvEbcQ/qR8YHq4x9nYE2OMUWmKXvLSk9yyIANaD1HU= contains sample tx 10
[2026-05-22T09:13:56.886Z INFO  worker::batch_maker] Batch GcvEbcQ/qR8YHq4x9nYE2OMUWmKXvLSk9yyIANaD1HU= contains sample tx 11
[2026-05-22T09:13:56.886Z INFO  worker::batch_maker] Batch GcvEbcQ/qR8YHq4x9nYE2OMUWmKXvLSk9yyIANaD1HU= contains 500224 B
[2026-05-22T09:13:56.886Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:56.886Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:56.985Z INFO  worker::batch_maker] Batch CTf2PYmCrTVgfIjIC7YOHiBEQurFdy7lMe2Kouj1iwo= contains sample tx 12
[2026-05-22T09:13:56.985Z INFO  worker::batch_maker] Batch CTf2PYmCrTVgfIjIC7YOHiBEQurFdy7lMe2Kouj1iwo= contains sample tx 13
[2026-05-22T09:13:56.986Z INFO  worker::batch_maker] Batch CTf2PYmCrTVgfIjIC7YOHiBEQurFdy7lMe2Kouj1iwo= contains 500224 B
[2026-05-22T09:13:56.986Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:56.986Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:56.991Z WARN  network::reliable_sender] Failed to connect to 35.247.143.172:5049 (retry 2): Connection refused (os error 111)
[2026-05-22T09:13:57.024Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.045Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.086Z INFO  worker::batch_maker] Batch nT+Q2bPHE0/cgfNDfB9wgRh8Ti9cqyfJsnMPFMRxXbg= contains sample tx 14
[2026-05-22T09:13:57.086Z INFO  worker::batch_maker] Batch nT+Q2bPHE0/cgfNDfB9wgRh8Ti9cqyfJsnMPFMRxXbg= contains sample tx 15
[2026-05-22T09:13:57.086Z INFO  worker::batch_maker] Batch nT+Q2bPHE0/cgfNDfB9wgRh8Ti9cqyfJsnMPFMRxXbg= contains 500224 B
[2026-05-22T09:13:57.086Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:57.086Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:57.182Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.186Z INFO  worker::batch_maker] Batch Tk5dw4RbYi7dOuY9fH5GttWihvj4td4+zYCKcO2w5mw= contains sample tx 16
[2026-05-22T09:13:57.186Z INFO  worker::batch_maker] Batch Tk5dw4RbYi7dOuY9fH5GttWihvj4td4+zYCKcO2w5mw= contains sample tx 17
[2026-05-22T09:13:57.186Z INFO  worker::batch_maker] Batch Tk5dw4RbYi7dOuY9fH5GttWihvj4td4+zYCKcO2w5mw= contains 500224 B
[2026-05-22T09:13:57.186Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:57.186Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:57.207Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.259Z INFO  network::reliable_sender] Connection to 35.227.54.147:5044: sent 508052 bytes
[2026-05-22T09:13:57.262Z INFO  network::reliable_sender] Connection to 35.243.133.228:5019: sent 508052 bytes
[2026-05-22T09:13:57.287Z INFO  worker::batch_maker] Batch ZSKWfj2wsUwZ6rpzlOnyDywzcGKaPIUhr8J3iq5KoY8= contains sample tx 18
[2026-05-22T09:13:57.287Z INFO  worker::batch_maker] Batch ZSKWfj2wsUwZ6rpzlOnyDywzcGKaPIUhr8J3iq5KoY8= contains sample tx 19
[2026-05-22T09:13:57.287Z INFO  worker::batch_maker] Batch ZSKWfj2wsUwZ6rpzlOnyDywzcGKaPIUhr8J3iq5KoY8= contains 500224 B
[2026-05-22T09:13:57.287Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:57.287Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:57.338Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.342Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.371Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.375Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.375Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.386Z INFO  worker::batch_maker] Batch qlHvW0sVAhB34zqHbdNT5AYujPw0iW/kbWN+iisowWY= contains sample tx 20
[2026-05-22T09:13:57.386Z INFO  worker::batch_maker] Batch qlHvW0sVAhB34zqHbdNT5AYujPw0iW/kbWN+iisowWY= contains sample tx 21
[2026-05-22T09:13:57.386Z INFO  worker::batch_maker] Batch qlHvW0sVAhB34zqHbdNT5AYujPw0iW/kbWN+iisowWY= contains 500224 B
[2026-05-22T09:13:57.387Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:57.387Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:57.474Z INFO  network::receiver] Incoming connection established with 136.109.104.208:40004
[2026-05-22T09:13:57.474Z INFO  network::receiver] Incoming connection established with 136.118.77.161:36780
[2026-05-22T09:13:57.474Z WARN  network::receiver] Connection closed by peer 136.118.77.161:36780
[2026-05-22T09:13:57.474Z WARN  network::receiver] Connection closed by peer 136.109.104.208:40004
[2026-05-22T09:13:57.478Z INFO  network::reliable_sender] Connection to 35.227.54.147:5044: sent 508052 bytes
[2026-05-22T09:13:57.483Z INFO  network::reliable_sender] Connection to 35.243.133.228:5019: sent 508052 bytes
[2026-05-22T09:13:57.486Z INFO  worker::batch_maker] Batch DBSoK5eTFRCskuFe0BDHxvu0nlfCte5tfSbDiTqIxl0= contains sample tx 22
[2026-05-22T09:13:57.486Z INFO  worker::batch_maker] Batch DBSoK5eTFRCskuFe0BDHxvu0nlfCte5tfSbDiTqIxl0= contains sample tx 23
[2026-05-22T09:13:57.486Z INFO  worker::batch_maker] Batch DBSoK5eTFRCskuFe0BDHxvu0nlfCte5tfSbDiTqIxl0= contains 500224 B
[2026-05-22T09:13:57.486Z INFO  network::reliable_sender] Connection to 34.81.27.135:5039: sent 508052 bytes
[2026-05-22T09:13:57.486Z INFO  network::reliable_sender] Connection to 34.81.252.209:5014: sent 508052 bytes
[2026-05-22T09:13:57.499Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.499Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.499Z INFO  network::reliable_sender] Connection to 136.118.77.161:5034: sent 508052 bytes
[2026-05-22T09:13:57.537Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.537Z INFO  network::reliable_sender] Connection to 136.109.104.208:5009: sent 508052 bytes
[2026-05-22T09:13:57.586Z INFO  worker::batch_maker] Batch vlOygXzgKg5iHj6FbEEllETx6ReFBdoQA0f8N7OvcXA= contains sample tx 24
[2026-05-22T09:13:57.586Z INFO  worker::batch_maker] Batch vlOygXzgKg5iHj6FbEEllETx6ReFBdoQA0f8N7OvcXA= contains sample tx 25
[2026-05-22T09:13:57.586Z INFO  worker::batch_maker] Batch vlOygXzgKg5iHj6FbEEllETx6ReFBdoQA0f8N7OvcXA= contains 500224 B
